
language,filename,blank,comment,code,"http://cloc.sourceforge.net v 1.60  T=212.74 s (90.1 files/s, 27775.8 lines/s)"
C/C++ Header,./third_party/wtl/include/atlwince.h,517,269,2221
Javascript,./chrome/test/data/dromaeo/lib/jquery.js,695,656,2198
C,./third_party/sqlite/src/src/tclsqlite.c,173,544,2197
C,./third_party/mesa/MesaLib/src/mesa/drivers/x11/fakeglx.c,439,436,2192
HTML,./chrome/common/extensions/docs/experimental.webNavigation.html,242,154,2189
HTML,./chrome/common/extensions/docs/experimental.sidebar.html,251,174,2186
C,./third_party/libpng/pngwutil.c,349,311,2172
C/C++ Header,./third_party/libpng/png.h,471,1151,2166
HTML,./chrome/common/extensions/docs/experimental.webRequest.html,237,151,2135
C++,./chrome/browser/webdata/web_database_unittest.cc,413,301,2128
Javascript,./chrome/test/data/dromaeo/jquery.js,674,618,2116
Python,./tools/symsrc/pefile.py,953,678,2098
C/C++ Header,./third_party/mesa/MesaLib/src/gallium/winsys/r600/drm/r600d.h,10,27,2097
C/C++ Header,./tools/traceline/traceline/syscall_map.h,8,12,2096
C,./third_party/mesa/MesaLib/src/gallium/drivers/svga/svga_tgsi_insn.c,523,364,2083
C,./third_party/libevent/http.c,460,298,2068
C,./net/third_party/nss/ssl/sslsock.c,286,190,2067
C,./third_party/sqlite/src/ext/rtree/rtree.c,284,510,2067
C/C++ Header,./third_party/mesa/MesaLib/src/mesa/drivers/dri/r300/server/radeon_reg.h,64,54,2056
C,./third_party/libxml/src/SAX2.c,216,696,2033
C,./third_party/mesa/MesaLib/src/mesa/drivers/common/meta.c,417,434,2017
C++,./chrome/browser/webdata/web_database.cc,317,260,2010
C++,./net/url_request/url_request_unittest.cc,527,202,2009
C,./third_party/mesa/MesaLib/src/mesa/main/get.c,255,229,1988
C/C++ Header,./third_party/mesa/MesaLib/src/mesa/main/mtypes.h,498,889,1975
C/C++ Header,./third_party/mesa/MesaLib/include/GL/gl_mangle.h,6,8,1971
C,./third_party/mesa/MesaLib/src/gallium/state_trackers/glx/xlib/glx_api.c,381,304,1959
C++,./third_party/cld/encodings/compact_lang_det/compact_lang_det_impl.cc,259,346,1953
C,./third_party/libxml/src/xpointer.c,219,843,1949
C,./third_party/libxslt/libxslt/pattern.c,138,422,1949
Javascript,./o3d/samples/beachdemo/beachdemo-glsl.js,294,549,1936
